"MTU","Scheduled Generation [MW] (D) - BZN|DK2","Scheduled Consumption [MW] (D) - BZN|DK2"
"01.01.2019 00:00 - 01.01.2019 01:00 (UTC)","1412",""
"01.01.2019 01:00 - 01.01.2019 02:00 (UTC)","1277",""
"01.01.2019 02:00 - 01.01.2019 03:00 (UTC)","1215",""
"01.01.2019 03:00 - 01.01.2019 04:00 (UTC)","1182",""
"01.01.2019 04:00 - 01.01.2019 05:00 (UTC)","1177",""
"01.01.2019 05:00 - 01.01.2019 06:00 (UTC)","1223",""
"01.01.2019 06:00 - 01.01.2019 07:00 (UTC)","1279",""
"01.01.2019 07:00 - 01.01.2019 08:00 (UTC)","1479",""
"01.01.2019 08:00 - 01.01.2019 09:00 (UTC)","1481",""
"01.01.2019 09:00 - 01.01.2019 10:00 (UTC)","1704",""
"01.01.2019 10:00 - 01.01.2019 11:00 (UTC)","1849",""
"01.01.2019 11:00 - 01.01.2019 12:00 (UTC)","1791",""
"01.01.2019 12:00 - 01.01.2019 13:00 (UTC)","1668",""
"01.01.2019 13:00 - 01.01.2019 14:00 (UTC)","1647",""
"01.01.2019 14:00 - 01.01.2019 15:00 (UTC)","1640",""
"01.01.2019 15:00 - 01.01.2019 16:00 (UTC)","1615",""
"01.01.2019 16:00 - 01.01.2019 17:00 (UTC)","1617",""
"01.01.2019 17:00 - 01.01.2019 18:00 (UTC)","1571",""
"01.01.2019 18:00 - 01.01.2019 19:00 (UTC)","1469",""
"01.01.2019 19:00 - 01.01.2019 20:00 (UTC)","1445",""
"01.01.2019 20:00 - 01.01.2019 21:00 (UTC)","1253",""
"01.01.2019 21:00 - 01.01.2019 22:00 (UTC)","1376",""
"01.01.2019 22:00 - 01.01.2019 23:00 (UTC)","1213",""
"01.01.2019 23:00 - 02.01.2019 00:00 (UTC)","1139",""
"02.01.2019 00:00 - 02.01.2019 01:00 (UTC)","1154",""
"02.01.2019 01:00 - 02.01.2019 02:00 (UTC)","1150",""
"02.01.2019 02:00 - 02.01.2019 03:00 (UTC)","1129",""
"02.01.2019 03:00 - 02.01.2019 04:00 (UTC)","1150",""
"02.01.2019 04:00 - 02.01.2019 05:00 (UTC)","1186",""
"02.01.2019 05:00 - 02.01.2019 06:00 (UTC)","1447",""
"02.01.2019 06:00 - 02.01.2019 07:00 (UTC)","1580",""
"02.01.2019 07:00 - 02.01.2019 08:00 (UTC)","1719",""
"02.01.2019 08:00 - 02.01.2019 09:00 (UTC)","1716",""
"02.01.2019 09:00 - 02.01.2019 10:00 (UTC)","1827",""
"02.01.2019 10:00 - 02.01.2019 11:00 (UTC)","1930",""
"02.01.2019 11:00 - 02.01.2019 12:00 (UTC)","1958",""
"02.01.2019 12:00 - 02.01.2019 13:00 (UTC)","1943",""
"02.01.2019 13:00 - 02.01.2019 14:00 (UTC)","1883",""
"02.01.2019 14:00 - 02.01.2019 15:00 (UTC)","1793",""
"02.01.2019 15:00 - 02.01.2019 16:00 (UTC)","1723",""
"02.01.2019 16:00 - 02.01.2019 17:00 (UTC)","1561",""
"02.01.2019 17:00 - 02.01.2019 18:00 (UTC)","1484",""
"02.01.2019 18:00 - 02.01.2019 19:00 (UTC)","1442",""
"02.01.2019 19:00 - 02.01.2019 20:00 (UTC)","1364",""
"02.01.2019 20:00 - 02.01.2019 21:00 (UTC)","1278",""
"02.01.2019 21:00 - 02.01.2019 22:00 (UTC)","1226",""
"02.01.2019 22:00 - 02.01.2019 23:00 (UTC)","1247",""
"02.01.2019 23:00 - 03.01.2019 00:00 (UTC)","1279",""
"03.01.2019 00:00 - 03.01.2019 01:00 (UTC)","1248",""
"03.01.2019 01:00 - 03.01.2019 02:00 (UTC)","1253",""
"03.01.2019 02:00 - 03.01.2019 03:00 (UTC)","1264",""
"03.01.2019 03:00 - 03.01.2019 04:00 (UTC)","1252",""
"03.01.2019 04:00 - 03.01.2019 05:00 (UTC)","1246",""
"03.01.2019 05:00 - 03.01.2019 06:00 (UTC)","1223",""
"03.01.2019 06:00 - 03.01.2019 07:00 (UTC)","1252",""
"03.01.2019 07:00 - 03.01.2019 08:00 (UTC)","1274",""
"03.01.2019 08:00 - 03.01.2019 09:00 (UTC)","1286",""
"03.01.2019 09:00 - 03.01.2019 10:00 (UTC)","1225",""
"03.01.2019 10:00 - 03.01.2019 11:00 (UTC)","1218",""
"03.01.2019 11:00 - 03.01.2019 12:00 (UTC)","1207",""
"03.01.2019 12:00 - 03.01.2019 13:00 (UTC)","1178",""
"03.01.2019 13:00 - 03.01.2019 14:00 (UTC)","1121",""
"03.01.2019 14:00 - 03.01.2019 15:00 (UTC)","1075",""
"03.01.2019 15:00 - 03.01.2019 16:00 (UTC)","1044",""
"03.01.2019 16:00 - 03.01.2019 17:00 (UTC)","1014",""
"03.01.2019 17:00 - 03.01.2019 18:00 (UTC)","983",""
"03.01.2019 18:00 - 03.01.2019 19:00 (UTC)","981",""
"03.01.2019 19:00 - 03.01.2019 20:00 (UTC)","959",""
"03.01.2019 20:00 - 03.01.2019 21:00 (UTC)","971",""
"03.01.2019 21:00 - 03.01.2019 22:00 (UTC)","1000",""
"03.01.2019 22:00 - 03.01.2019 23:00 (UTC)","1043",""
"03.01.2019 23:00 - 04.01.2019 00:00 (UTC)","1088",""
"04.01.2019 00:00 - 04.01.2019 01:00 (UTC)","1180",""
"04.01.2019 01:00 - 04.01.2019 02:00 (UTC)","1267",""
"04.01.2019 02:00 - 04.01.2019 03:00 (UTC)","1374",""
"04.01.2019 03:00 - 04.01.2019 04:00 (UTC)","1445",""
"04.01.2019 04:00 - 04.01.2019 05:00 (UTC)","1451",""
"04.01.2019 05:00 - 04.01.2019 06:00 (UTC)","1449",""
"04.01.2019 06:00 - 04.01.2019 07:00 (UTC)","1414",""
"04.01.2019 07:00 - 04.01.2019 08:00 (UTC)","1489",""
"04.01.2019 08:00 - 04.01.2019 09:00 (UTC)","1552",""
"04.01.2019 09:00 - 04.01.2019 10:00 (UTC)","1593",""
"04.01.2019 10:00 - 04.01.2019 11:00 (UTC)","1523",""
"04.01.2019 11:00 - 04.01.2019 12:00 (UTC)","1495",""
"04.01.2019 12:00 - 04.01.2019 13:00 (UTC)","1425",""
"04.01.2019 13:00 - 04.01.2019 14:00 (UTC)","1316",""
"04.01.2019 14:00 - 04.01.2019 15:00 (UTC)","1309",""
"04.01.2019 15:00 - 04.01.2019 16:00 (UTC)","1365",""
"04.01.2019 16:00 - 04.01.2019 17:00 (UTC)","1444",""
"04.01.2019 17:00 - 04.01.2019 18:00 (UTC)","1511",""
"04.01.2019 18:00 - 04.01.2019 19:00 (UTC)","1549",""
"04.01.2019 19:00 - 04.01.2019 20:00 (UTC)","1522",""
"04.01.2019 20:00 - 04.01.2019 21:00 (UTC)","1463",""
"04.01.2019 21:00 - 04.01.2019 22:00 (UTC)","1416",""
"04.01.2019 22:00 - 04.01.2019 23:00 (UTC)","1389",""
"04.01.2019 23:00 - 05.01.2019 00:00 (UTC)","1370",""
"05.01.2019 00:00 - 05.01.2019 01:00 (UTC)","1255",""
"05.01.2019 01:00 - 05.01.2019 02:00 (UTC)","1153",""
"05.01.2019 02:00 - 05.01.2019 03:00 (UTC)","1065",""
"05.01.2019 03:00 - 05.01.2019 04:00 (UTC)","983",""
"05.01.2019 04:00 - 05.01.2019 05:00 (UTC)","1010",""
"05.01.2019 05:00 - 05.01.2019 06:00 (UTC)","1040",""
