"Imbalance settlement period (UTC)","+ Imbalance Price [EUR/MWh] - IPA|DK2","+ Scarcity [EUR/MWh] - IPA|DK2","+ Incentive [EUR/MWh] - IPA|DK2","+ Financial Neutrality [EUR/MWh] - IPA|DK2","- Imbalance Price [EUR/MWh] - IPA|DK2","- Scarcity [EUR/MWh] - IPA|DK2","- Incentive [EUR/MWh] - IPA|DK2","- Financial Neutrality [EUR/MWh] - IPA|DK2","Currency","Status","Total Imbalance [MWh] - IPA|DK2","Difference","Situation","Status"
"01.01.2022 00:00 - 01.01.2022 01:00","41.33","","","","41.33","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2022 01:00 - 01.01.2022 02:00","42.18","","","","42.18","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2022 02:00 - 01.01.2022 03:00","44.37","","","","44.37","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2022 03:00 - 01.01.2022 04:00","37.67","","","","37.67","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2022 04:00 - 01.01.2022 05:00","39.70","","","","39.70","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2022 05:00 - 01.01.2022 06:00","40.59","","","","40.59","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2022 06:00 - 01.01.2022 07:00","43.26","","","","43.26","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2022 07:00 - 01.01.2022 08:00","43.14","","","","43.14","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2022 08:00 - 01.01.2022 09:00","43.13","","","","43.13","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2022 09:00 - 01.01.2022 10:00","50.00","","","","50.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2022 10:00 - 01.01.2022 11:00","84.10","","","","84.10","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2022 11:00 - 01.01.2022 12:00","65.00","","","","65.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2022 12:00 - 01.01.2022 13:00","50.21","","","","50.21","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2022 13:00 - 01.01.2022 14:00","56.00","","","","56.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2022 14:00 - 01.01.2022 15:00","101.27","","","","101.27","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2022 15:00 - 01.01.2022 16:00","102.00","","","","102.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2022 16:00 - 01.01.2022 17:00","102.00","","","","102.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2022 17:00 - 01.01.2022 18:00","102.00","","","","102.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2022 18:00 - 01.01.2022 19:00","80.00","","","","80.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2022 19:00 - 01.01.2022 20:00","80.00","","","","80.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2022 20:00 - 01.01.2022 21:00","42.95","","","","42.95","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2022 21:00 - 01.01.2022 22:00","42.48","","","","42.48","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2022 22:00 - 01.01.2022 23:00","28.00","","","","28.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2022 23:00 - 02.01.2022 00:00","27.00","","","","27.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2022 00:00 - 02.01.2022 01:00","45.00","","","","45.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2022 01:00 - 02.01.2022 02:00","45.00","","","","45.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2022 02:00 - 02.01.2022 03:00","34.10","","","","34.10","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2022 03:00 - 02.01.2022 04:00","29.56","","","","29.56","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2022 04:00 - 02.01.2022 05:00","27.00","","","","27.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2022 05:00 - 02.01.2022 06:00","27.00","","","","27.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2022 06:00 - 02.01.2022 07:00","27.00","","","","27.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2022 07:00 - 02.01.2022 08:00","32.11","","","","32.11","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2022 08:00 - 02.01.2022 09:00","33.00","","","","33.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2022 09:00 - 02.01.2022 10:00","33.00","","","","33.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2022 10:00 - 02.01.2022 11:00","66.26","","","","66.26","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2022 11:00 - 02.01.2022 12:00","64.54","","","","64.54","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2022 12:00 - 02.01.2022 13:00","80.00","","","","80.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2022 13:00 - 02.01.2022 14:00","90.00","","","","90.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2022 14:00 - 02.01.2022 15:00","110.00","","","","110.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2022 15:00 - 02.01.2022 16:00","88.15","","","","88.15","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2022 16:00 - 02.01.2022 17:00","95.40","","","","95.40","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2022 17:00 - 02.01.2022 18:00","86.71","","","","86.71","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2022 18:00 - 02.01.2022 19:00","71.27","","","","71.27","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2022 19:00 - 02.01.2022 20:00","30.00","","","","30.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2022 20:00 - 02.01.2022 21:00","27.00","","","","27.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2022 21:00 - 02.01.2022 22:00","27.00","","","","27.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2022 22:00 - 02.01.2022 23:00","24.50","","","","24.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2022 23:00 - 03.01.2022 00:00","13.20","","","","13.20","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2022 00:00 - 03.01.2022 01:00","15.00","","","","15.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2022 01:00 - 03.01.2022 02:00","12.00","","","","12.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2022 02:00 - 03.01.2022 03:00","12.00","","","","12.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2022 03:00 - 03.01.2022 04:00","13.29","","","","13.29","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2022 04:00 - 03.01.2022 05:00","9.24","","","","9.24","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2022 05:00 - 03.01.2022 06:00","23.82","","","","23.82","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2022 06:00 - 03.01.2022 07:00","26.00","","","","26.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
