"Time (UTC)","Day-ahead Total Load Forecast [MW] - BZN|DK2","Actual Total Load [MW] - BZN|DK2"
"01.01.2022 00:00 - 01.01.2022 01:00","1340","1340"
"01.01.2022 01:00 - 01.01.2022 02:00","1280","1284"
"01.01.2022 02:00 - 01.01.2022 03:00","1238","1244"
"01.01.2022 03:00 - 01.01.2022 04:00","1212","1230"
"01.01.2022 04:00 - 01.01.2022 05:00","1205","1200"
"01.01.2022 05:00 - 01.01.2022 06:00","1239","1239"
"01.01.2022 06:00 - 01.01.2022 07:00","1277","1273"
"01.01.2022 07:00 - 01.01.2022 08:00","1316","1303"
"01.01.2022 08:00 - 01.01.2022 09:00","1373","1368"
"01.01.2022 09:00 - 01.01.2022 10:00","1463","1454"
"01.01.2022 10:00 - 01.01.2022 11:00","1521","1499"
"01.01.2022 11:00 - 01.01.2022 12:00","1537","1541"
"01.01.2022 12:00 - 01.01.2022 13:00","1554","1568"
"01.01.2022 13:00 - 01.01.2022 14:00","1571","1565"
"01.01.2022 14:00 - 01.01.2022 15:00","1605","1610"
"01.01.2022 15:00 - 01.01.2022 16:00","1717","1708"
"01.01.2022 16:00 - 01.01.2022 17:00","1805","1805"
"01.01.2022 17:00 - 01.01.2022 18:00","1768","1788"
"01.01.2022 18:00 - 01.01.2022 19:00","1692","1696"
"01.01.2022 19:00 - 01.01.2022 20:00","1597","1611"
"01.01.2022 20:00 - 01.01.2022 21:00","1519","1536"
"01.01.2022 21:00 - 01.01.2022 22:00","1455","1448"
"01.01.2022 22:00 - 01.01.2022 23:00","1378","1369"
"01.01.2022 23:00 - 02.01.2022 00:00","1301","1302"
"02.01.2022 00:00 - 02.01.2022 01:00","1242","1240"
"02.01.2022 01:00 - 02.01.2022 02:00","1227","1229"
"02.01.2022 02:00 - 02.01.2022 03:00","1224","1186"
"02.01.2022 03:00 - 02.01.2022 04:00","1210","1186"
"02.01.2022 04:00 - 02.01.2022 05:00","1216","1206"
"02.01.2022 05:00 - 02.01.2022 06:00","1274","1271"
"02.01.2022 06:00 - 02.01.2022 07:00","1348","1338"
"02.01.2022 07:00 - 02.01.2022 08:00","1438","1436"
"02.01.2022 08:00 - 02.01.2022 09:00","1534","1532"
"02.01.2022 09:00 - 02.01.2022 10:00","1617","1635"
"02.01.2022 10:00 - 02.01.2022 11:00","1675","1672"
"02.01.2022 11:00 - 02.01.2022 12:00","1687","1698"
"02.01.2022 12:00 - 02.01.2022 13:00","1697","1701"
"02.01.2022 13:00 - 02.01.2022 14:00","1696","1701"
"02.01.2022 14:00 - 02.01.2022 15:00","1737","1728"
"02.01.2022 15:00 - 02.01.2022 16:00","1836","1827"
"02.01.2022 16:00 - 02.01.2022 17:00","1971","1978"
"02.01.2022 17:00 - 02.01.2022 18:00","1951","1954"
"02.01.2022 18:00 - 02.01.2022 19:00","1825","1817"
"02.01.2022 19:00 - 02.01.2022 20:00","1706","1712"
"02.01.2022 20:00 - 02.01.2022 21:00","1591","1603"
"02.01.2022 21:00 - 02.01.2022 22:00","1479","1503"
"02.01.2022 22:00 - 02.01.2022 23:00","1380","1418"
"02.01.2022 23:00 - 03.01.2022 00:00","1331","1345"
"03.01.2022 00:00 - 03.01.2022 01:00","1270","1275"
"03.01.2022 01:00 - 03.01.2022 02:00","1241","1233"
"03.01.2022 02:00 - 03.01.2022 03:00","1222","1221"
"03.01.2022 03:00 - 03.01.2022 04:00","1239","1256"
"03.01.2022 04:00 - 03.01.2022 05:00","1337","1366"
"03.01.2022 05:00 - 03.01.2022 06:00","1559","1556"
"03.01.2022 06:00 - 03.01.2022 07:00","1788","1744"
"03.01.2022 07:00 - 03.01.2022 08:00","1897","1877"
"03.01.2022 08:00 - 03.01.2022 09:00","1901","1934"
"03.01.2022 09:00 - 03.01.2022 10:00","1935","1988"
"03.01.2022 10:00 - 03.01.2022 11:00","1986","2000"
"03.01.2022 11:00 - 03.01.2022 12:00","1983","1958"
"03.01.2022 12:00 - 03.01.2022 13:00","1945","1948"
"03.01.2022 13:00 - 03.01.2022 14:00","1916","1925"
"03.01.2022 14:00 - 03.01.2022 15:00","1925","1919"
"03.01.2022 15:00 - 03.01.2022 16:00","2029","2016"
"03.01.2022 16:00 - 03.01.2022 17:00","2155","2168"
"03.01.2022 17:00 - 03.01.2022 18:00","2092","2112"
"03.01.2022 18:00 - 03.01.2022 19:00","1965","1951"
"03.01.2022 19:00 - 03.01.2022 20:00","1832","1806"
"03.01.2022 20:00 - 03.01.2022 21:00","1714","1676"
"03.01.2022 21:00 - 03.01.2022 22:00","1606","1552"
"03.01.2022 22:00 - 03.01.2022 23:00","1506","1438"
"03.01.2022 23:00 - 04.01.2022 00:00","1360","1354"
"04.01.2022 00:00 - 04.01.2022 01:00","1290","1298"
"04.01.2022 01:00 - 04.01.2022 02:00","1268","1274"
"04.01.2022 02:00 - 04.01.2022 03:00","1289","1285"
"04.01.2022 03:00 - 04.01.2022 04:00","1312","1308"
"04.01.2022 04:00 - 04.01.2022 05:00","1399","1398"
"04.01.2022 05:00 - 04.01.2022 06:00","1578","1597"
"04.01.2022 06:00 - 04.01.2022 07:00","1794","1834"
"04.01.2022 07:00 - 04.01.2022 08:00","1952","1979"
"04.01.2022 08:00 - 04.01.2022 09:00","2005","2011"
"04.01.2022 09:00 - 04.01.2022 10:00","2031","2026"
"04.01.2022 10:00 - 04.01.2022 11:00","2033","2048"
"04.01.2022 11:00 - 04.01.2022 12:00","2042","2054"
"04.01.2022 12:00 - 04.01.2022 13:00","2030","2039"
"04.01.2022 13:00 - 04.01.2022 14:00","2023","2042"
"04.01.2022 14:00 - 04.01.2022 15:00","2013","2009"
"04.01.2022 15:00 - 04.01.2022 16:00","2113","2101"
"04.01.2022 16:00 - 04.01.2022 17:00","2236","2243"
"04.01.2022 17:00 - 04.01.2022 18:00","2179","2175"
"04.01.2022 18:00 - 04.01.2022 19:00","2025","2048"
"04.01.2022 19:00 - 04.01.2022 20:00","1904","1924"
"04.01.2022 20:00 - 04.01.2022 21:00","1794","1788"
"04.01.2022 21:00 - 04.01.2022 22:00","1667","1673"
"04.01.2022 22:00 - 04.01.2022 23:00","1558","1548"
"04.01.2022 23:00 - 05.01.2022 00:00","1473","1496"
"05.01.2022 00:00 - 05.01.2022 01:00","1436","1459"
"05.01.2022 01:00 - 05.01.2022 02:00","1438","1452"
"05.01.2022 02:00 - 05.01.2022 03:00","1450","1448"
"05.01.2022 03:00 - 05.01.2022 04:00","1464","1466"
"05.01.2022 04:00 - 05.01.2022 05:00","1524","1512"
"05.01.2022 05:00 - 05.01.2022 06:00","1713","1692"
"05.01.2022 06:00 - 05.01.2022 07:00","1932","1950"
