,forecasts_24h
2021-01-01 00:00:00,"[0.24230679 0.19882118 0.23391195 0.18764579 0.22078194 0.3063844
 0.31744486 0.34045693 0.21147983 0.19387496 0.17366583 0.29617179
 0.14326471 0.23953998 0.61876382 0.35276632 0.53436966 0.58629243
 0.80868133 0.85426936 0.81828176 0.91771051 0.91652573 0.91991289]"
2021-01-01 01:00:00,"[0.17208831 0.22173448 0.17789736 0.21385374 0.30207571 0.31461184
 0.33854167 0.21021392 0.193041   0.17311245 0.2958048  0.14302181
 0.23937911 0.61865724 0.35269572 0.5343229  0.58626146 0.80866082
 0.85425577 0.81827276 0.91770455 0.91652178 0.91991027 0.96547372]"
2021-01-01 02:00:00,"[0.21377397 0.17427116 0.21095086 0.30001263 0.3133288  0.33769806
 0.20964359 0.19266404 0.17286411 0.29564001 0.14291253 0.23930678
 0.61860933 0.35266398 0.53430188 0.58624753 0.80865159 0.85424966
 0.81826871 0.91770187 0.91652001 0.91990909 0.96547294 0.94813592]"
2021-01-01 03:00:00,"[0.20602615 0.22541604 0.31159243 0.32155855 0.34281619 0.21300883
 0.19493911 0.17436784 0.29663064 0.14356987 0.23974272 0.61889787
 0.35285507 0.53442848 0.5863314  0.80870714 0.85428645 0.81829308
 0.91771801 0.9165307  0.91991618 0.96547764 0.94813902 0.97874163]"
2021-01-01 04:00:00,"[0.26891068 0.3314053  0.33741933 0.35408843 0.22001911 0.19954846
 0.17748398 0.29869028 0.14492672 0.24064308 0.61949498 0.35325027
 0.53469021 0.58650481 0.808822   0.85436253 0.81834348 0.91775139
 0.91655281 0.91993082 0.96548734 0.94814545 0.97874589 0.98853135]"
2021-01-01 05:00:00,"[0.34458446 0.34342276 0.35889435 0.22343467 0.20167262 0.17888065
 0.2996345  0.14555081 0.24105421 0.61976779 0.3534312  0.53480996
 0.58658411 0.80887454 0.85439733 0.81836653 0.91776666 0.91656292
 0.91993752 0.96549177 0.94814839 0.97874783 0.98853264 0.99772709]"
2021-01-01 06:00:00,"[0.29140749 0.33520012 0.20446675 0.18819214 0.17049705 0.29412217
 0.14182421 0.23859108 0.61814513 0.35235446 0.53409588 0.58611148
 0.80856154 0.85418995 0.81822916 0.91767568 0.91650266 0.9198976
 0.96546533 0.94813088 0.97873623 0.98852495 0.997722   1.00204476]"
2021-01-01 07:00:00,"[0.29561019 0.18643257 0.17375525 0.16023678 0.28774124 0.13762866
 0.23575468 0.61627038 0.35111942 0.53327636 0.58556798 0.80820182
 0.85395172 0.81807132 0.91757113 0.91643341 0.91985173 0.96543495
 0.94811075 0.9787229  0.98851612 0.99771616 1.00204089 0.90439826]"
2021-01-01 08:00:00,"[0.16258583 0.16289248 0.15154081 0.28156103 0.13378515 0.23322752
 0.6145619  0.34999018 0.53253244 0.58507435 0.80787444 0.85373504
 0.81792782 0.91747605 0.91637043 0.91981002 0.96540732 0.94809245
 0.97871078 0.98850809 0.99771084 1.00203737 0.90439592 0.79127554]"
2021-01-01 09:00:00,"[0.19578127 0.16652246 0.29355428 0.14230873 0.23852839 0.61804729
 0.35234648 0.53408985 0.58610034 0.80855525 0.85418655 0.81822666
 0.91767396 0.91650156 0.91989688 0.96546485 0.94813055 0.97873602
 0.98852481 0.99772191 1.0020447  0.90440078 0.79127876 0.90501664]"
